HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,YourApprovalRate,Input.name,Answer.comment,,Answer.Q1Url,Approve,Reject
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,10QNFGQEC8RJILWHXLPB99F9E45GCX,A2Y5ZXUULMXFXJ,Submitted,Fri Feb 11 17:52:33 GMT 2011,Fri Feb 11 17:53:33 GMT 2011,Wed Feb 16 17:53:33 GMT 2011,,,,60,0% (0/0),Austin Museum of Art,nice,,http://www.amoa.org,x,
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,1FFQ8OS3FFBX5S3S7C3W3B491L5AE8,ANPT7EXBQWHNF,Submitted,Fri Feb 11 17:54:13 GMT 2011,Fri Feb 11 17:54:30 GMT 2011,Wed Feb 16 17:54:30 GMT 2011,,,,17,0% (0/0),Austin Museum of Art,,,http://www.amoa.org/site/PageServer,x,
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,1MOYL5W3LH366KBV4DESY5H51KWVR7,A2TCNISQXXHJ9N,Submitted,Fri Feb 11 17:54:21 GMT 2011,Fri Feb 11 17:54:37 GMT 2011,Wed Feb 16 09:54:37 PST 2011,,,,16,0% (0/0),Austin Museum of Art,,,http://www.amoa.org/,x,
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,18I4T4AYNVMTB2PIJN9T6TJFZSQSF3,A1HTDRTXANRYDS,Submitted,Fri Feb 11 17:48:29 GMT 2011,Fri Feb 11 17:48:44 GMT 2011,Wed Feb 16 17:48:44 GMT 2011,,,,15,0% (0/0),Austin Museum of Digital Art,,,http://www.bing.com/search?setmkt=en-US&q=Austin+Museum+of+Digital+Art,,x
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1P64OH05PBDJAVS38ON6MEZ6AQHMCB,A1AA8K11MNMZPA,Submitted,Fri Feb 11 17:56:52 GMT 2011,Fri Feb 11 17:57:23 GMT 2011,Wed Feb 16 09:57:23 PST 2011,,,,31,0% (0/0),Austin Museum of Digital Art,,,http://www.amoda.org/,x,
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1RSJZQF6E99SE82JSUBLR6WJP0NQKF,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:46 GMT 2011,Fri Feb 11 17:53:55 GMT 2011,Wed Feb 16 17:53:55 GMT 2011,,,,9,0% (0/0),Austin Museum of Digital Art,,,http://www.amoda.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,18O2QUCX3ZI6UJWVRYPSTF705YUQV1,A1DX0O7J1K5WT2,Submitted,Fri Feb 11 17:55:29 GMT 2011,Fri Feb 11 17:55:59 GMT 2011,Wed Feb 16 09:55:59 PST 2011,,,,30,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1GPBKUP1HC1CCSPXBPAGATYM9O937J,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:56 GMT 2011,Fri Feb 11 17:54:17 GMT 2011,Wed Feb 16 17:54:17 GMT 2011,,,,21,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1PSORPIFDTTB9BCFUR8EHWA6JFB67S,ANPT7EXBQWHNF,Submitted,Fri Feb 11 17:55:50 GMT 2011,Fri Feb 11 17:56:03 GMT 2011,Wed Feb 16 09:56:03 PST 2011,,,,13,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1F6CMGN01UVBEGSH37OYL4PMN1EWVG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,5,,18URMK7UFO6SS41U5J9AV9JLR3G8XB,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:04 GMT 2011,Fri Feb 11 17:53:25 GMT 2011,Wed Feb 16 17:53:25 GMT 2011,,,,21,0% (0/0),George Washington Carver Museum and Cultural Center,,,http://www.gwcmuseumculturalcenter.org/,,x
